"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-89.35","48.93","ABITIBI CAMP 11","6040010","1979-06","1979","06","21.7","E","4.0","","12.9","E","30.0","","-6.7","","77.4","","0.0","","77.4","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1979-07","1979","07","26.9","","9.2","","18.1","","31.7","","1.1","","57.1","","0.0","","57.1","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1979-08","1979","08","21.7","","5.9","","13.8","","29.4","","-1.7","","34.3","","0.0","","34.3","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1979-09","1979","09","17.9","","3.0","","10.5","","26.7","","-5.6","","27.3","","0.0","","27.3","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1979-10","1979","10","5.9","","-3.1","","1.4","","15.6","","-13.3","","44.7","","14.7","","59.4","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1979-11","1979","11","-1.2","","-11.4","","-6.3","","7.8","S","-24.4","","5.1","","45.8","","50.9","","22","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1979-12","1979","12","-2.8","E","-15.6","","-9.2","E","3.3","","-30.0","","0.0","","15.5","","15.5","","20","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1980-01","1980","01","-11.6","","-26.1","","-18.9","","0.6","","-37.8","","0.0","","59.6","","59.6","","55","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1980-02","1980","02","-8.1","","-29.5","","-18.8","","-0.6","","-38.9","S","0.0","","25.0","","25.0","","66","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1980-03","1980","03","-1.8","","-22.2","","-12.0","","12.2","","-35.6","","0.0","T","29.9","","29.9","","68","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1980-04","1980","04","9.8","","-6.0","","1.9","","28.9","","-14.4","","16.5","","2.8","","19.3","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1980-05","1980","05","20.0","","2.5","","11.3","","34.4","","-2.8","","44.3","E","2.6","E","46.9","E","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1980-06","1980","06","19.9","","5.8","","12.9","","33.0","","-6.0","","68.6","","0.0","","68.6","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1980-07","1980","07","25.3","","10.7","","18.0","","32.0","","2.0","S","38.6","","0.0","","38.6","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1980-08","1980","08","22.1","","10.0","","16.1","","29.5","","1.5","","94.8","","0.0","","94.8","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1980-09","1980","09","14.4","","3.3","","8.9","","25.0","","-4.5","","193.1","","0.0","","193.1","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1980-10","1980","10","5.7","","-4.3","","0.7","","16.5","","-15.0","","37.3","E","20.8","E","58.1","E","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1980-11","1980","11","1.1","","-8.5","","-3.7","","9.5","","-20.0","","0.0","","23.0","","23.0","","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1980-12","1980","12","-11.4","","-22.6","","-17.0","","1.5","","-35.0","","0.0","","","M","","M","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1981-01","1981","01","-7.8","E","-18.5","E","-13.2","E","5.0","","-35.0","","0.0","","","M","","M","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1981-02","1981","02","-5.6","","-18.1","","-11.9","","10.5","","-41.0","","","M","","M","","M","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1981-03","1981","03","3.2","","-10.8","","-3.8","","12.0","","-31.0","S","","M","","M","","M","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1981-04","1981","04","8.9","E","-4.6","E","2.2","E","20.0","","-11.0","","12.4","","6.0","","18.4","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1981-05","1981","05","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1981-06","1981","06","19.8","","5.8","","12.8","","27.0","","-1.0","","118.9","","0.0","","118.9","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1981-07","1981","07","25.6","E","9.7","E","17.7","E","35.0","S","0.0","","41.0","","0.0","","41.0","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1981-08","1981","08","23.5","","7.4","","15.5","","28.0","S","1.0","","56.8","","0.0","","56.8","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1981-09","1981","09","16.2","","2.7","","9.5","","29.0","","-6.0","","44.3","","25.0","","69.3","","0","","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1981-10","1981","10","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1981-11","1981","11","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-89.35","48.93","ABITIBI CAMP 11","6040010","1981-12","1981","12","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
